Data sent: 11111111101110101011110000100000
Time: 322517200000, TX_OUT: 1
Time: 323517200000, TX_OUT: 1
Time: 324517200000, TX_OUT: 1
Time: 325517200000, TX_OUT: 1
Time: 326517200000, TX_OUT: 1
Time: 327517200000, TX_OUT: 1
Time: 328517200000, TX_OUT: 1
Time: 329517200000, TX_OUT: 1
Time: 330517200000, TX_OUT: 1
Time: 331517200000, TX_OUT: 0
Time: 332517200000, TX_OUT: 1
Time: 333517200000, TX_OUT: 1
Time: 334517200000, TX_OUT: 1
Time: 335517200000, TX_OUT: 0
Time: 336517200000, TX_OUT: 1
Time: 337517200000, TX_OUT: 0
Time: 338517200000, TX_OUT: 1
Time: 339517200000, TX_OUT: 0
Time: 340517200000, TX_OUT: 1
Time: 341517200000, TX_OUT: 1
Time: 342517200000, TX_OUT: 1
Time: 343517200000, TX_OUT: 1
Time: 344517200000, TX_OUT: 0
Time: 345517200000, TX_OUT: 0
Time: 346517200000, TX_OUT: 0
Time: 347517200000, TX_OUT: 0
Time: 348517200000, TX_OUT: 1
Time: 349517200000, TX_OUT: 0
Time: 350517200000, TX_OUT: 0
Time: 351517200000, TX_OUT: 0
Time: 352517200000, TX_OUT: 0
Time: 353517200000, TX_OUT: 0
Data sent: 11111111001010101011110100000001
Time: 355517200000, TX_OUT: 1
Time: 356517200000, TX_OUT: 1
Time: 357517200000, TX_OUT: 1
Time: 358517200000, TX_OUT: 1
Time: 359517200000, TX_OUT: 1
Time: 360517200000, TX_OUT: 1
Time: 361517200000, TX_OUT: 1
Time: 362517200000, TX_OUT: 1
Time: 363517200000, TX_OUT: 0
Time: 364517200000, TX_OUT: 0
Time: 365517200000, TX_OUT: 1
Time: 366517200000, TX_OUT: 0
Time: 367517200000, TX_OUT: 1
Time: 368517200000, TX_OUT: 0
Time: 369517200000, TX_OUT: 1
Time: 370517200000, TX_OUT: 0
Time: 371517200000, TX_OUT: 1
Time: 372517200000, TX_OUT: 0
Time: 373517200000, TX_OUT: 1
Time: 374517200000, TX_OUT: 1
Time: 375517200000, TX_OUT: 1
Time: 376517200000, TX_OUT: 1
Time: 377517200000, TX_OUT: 0
Time: 378517200000, TX_OUT: 1
Time: 379517200000, TX_OUT: 0
Time: 380517200000, TX_OUT: 0
Time: 381517200000, TX_OUT: 0
Time: 382517200000, TX_OUT: 0
Time: 383517200000, TX_OUT: 0
Time: 384517200000, TX_OUT: 0
Time: 385517200000, TX_OUT: 0
Time: 386517200000, TX_OUT: 1
Data sent: 11111111001010011011110100100001
Time: 388517200000, TX_OUT: 1
Time: 389517200000, TX_OUT: 1
Time: 390517200000, TX_OUT: 1
Time: 391517200000, TX_OUT: 1
Time: 392517200000, TX_OUT: 1
Time: 393517200000, TX_OUT: 1
Time: 394517200000, TX_OUT: 1
Time: 395517200000, TX_OUT: 1
Time: 396517200000, TX_OUT: 0
Time: 397517200000, TX_OUT: 0
Time: 398517200000, TX_OUT: 1
Time: 399517200000, TX_OUT: 0
Time: 400517200000, TX_OUT: 1
Time: 401517200000, TX_OUT: 0
Time: 402517200000, TX_OUT: 0
Time: 403517200000, TX_OUT: 1
Time: 404517200000, TX_OUT: 1
Time: 405517200000, TX_OUT: 0
Time: 406517200000, TX_OUT: 1
Time: 407517200000, TX_OUT: 1
Time: 408517200000, TX_OUT: 1
Time: 409517200000, TX_OUT: 1
Time: 410517200000, TX_OUT: 0
Time: 411517200000, TX_OUT: 1
Time: 412517200000, TX_OUT: 0
Time: 413517200000, TX_OUT: 0
Time: 414517200000, TX_OUT: 1
Time: 415517200000, TX_OUT: 0
Time: 416517200000, TX_OUT: 0
Time: 417517200000, TX_OUT: 0
Time: 418517200000, TX_OUT: 0
Time: 419517200000, TX_OUT: 1
Data sent: 11111111100000101011110010100010
Time: 421517200000, TX_OUT: 1
Time: 422517200000, TX_OUT: 1
Time: 423517200000, TX_OUT: 1
Time: 424517200000, TX_OUT: 1
Time: 425517200000, TX_OUT: 1
Time: 426517200000, TX_OUT: 1
Time: 427517200000, TX_OUT: 1
Time: 428517200000, TX_OUT: 1
Time: 429517200000, TX_OUT: 1
Time: 430517200000, TX_OUT: 0
Time: 431517200000, TX_OUT: 0
Time: 432517200000, TX_OUT: 0
Time: 433517200000, TX_OUT: 0
Time: 434517200000, TX_OUT: 0
Time: 435517200000, TX_OUT: 1
Time: 436517200000, TX_OUT: 0
Time: 437517200000, TX_OUT: 1
Time: 438517200000, TX_OUT: 0
Time: 439517200000, TX_OUT: 1
Time: 440517200000, TX_OUT: 1
Time: 441517200000, TX_OUT: 1
Time: 442517200000, TX_OUT: 1
Time: 443517200000, TX_OUT: 0
Time: 444517200000, TX_OUT: 0
Time: 445517200000, TX_OUT: 1
Time: 446517200000, TX_OUT: 0
Time: 447517200000, TX_OUT: 1
Time: 448517200000, TX_OUT: 0
Time: 449517200000, TX_OUT: 0
Time: 450517200000, TX_OUT: 0
Time: 451517200000, TX_OUT: 1
Time: 452517200000, TX_OUT: 0
Data sent: 11111111000100000011110110010010
Time: 454517200000, TX_OUT: 1
Time: 455517200000, TX_OUT: 1
Time: 456517200000, TX_OUT: 1
Time: 457517200000, TX_OUT: 1
Time: 458517200000, TX_OUT: 1
Time: 459517200000, TX_OUT: 1
Time: 460517200000, TX_OUT: 1
Time: 461517200000, TX_OUT: 1
Time: 462517200000, TX_OUT: 0
Time: 463517200000, TX_OUT: 0
Time: 464517200000, TX_OUT: 0
Time: 465517200000, TX_OUT: 1
Time: 466517200000, TX_OUT: 0
Time: 467517200000, TX_OUT: 0
Time: 468517200000, TX_OUT: 0
Time: 469517200000, TX_OUT: 0
Time: 470517200000, TX_OUT: 0
Time: 471517200000, TX_OUT: 0
Time: 472517200000, TX_OUT: 1
Time: 473517200000, TX_OUT: 1
Time: 474517200000, TX_OUT: 1
Time: 475517200000, TX_OUT: 1
Time: 476517200000, TX_OUT: 0
Time: 477517200000, TX_OUT: 1
Time: 478517200000, TX_OUT: 1
Time: 479517200000, TX_OUT: 0
Time: 480517200000, TX_OUT: 0
Time: 481517200000, TX_OUT: 1
Time: 482517200000, TX_OUT: 0
Time: 483517200000, TX_OUT: 0
Time: 484517200000, TX_OUT: 1
Time: 485517200000, TX_OUT: 0
Data sent: 11111111101010101011110110001010
Time: 487517200000, TX_OUT: 1
Time: 488517200000, TX_OUT: 1
Time: 489517200000, TX_OUT: 1
Time: 490517200000, TX_OUT: 1
Time: 491517200000, TX_OUT: 1
Time: 492517200000, TX_OUT: 1
Time: 493517200000, TX_OUT: 1
Time: 494517200000, TX_OUT: 1
Time: 495517200000, TX_OUT: 1
Time: 496517200000, TX_OUT: 0
Time: 497517200000, TX_OUT: 1
Time: 498517200000, TX_OUT: 0
Time: 499517200000, TX_OUT: 1
Time: 500517200000, TX_OUT: 0
Time: 501517200000, TX_OUT: 1
Time: 502517200000, TX_OUT: 0
Time: 503517200000, TX_OUT: 1
Time: 504517200000, TX_OUT: 0
Time: 505517200000, TX_OUT: 1
Time: 506517200000, TX_OUT: 1
Time: 507517200000, TX_OUT: 1
Time: 508517200000, TX_OUT: 1
Time: 509517200000, TX_OUT: 0
Time: 510517200000, TX_OUT: 1
Time: 511517200000, TX_OUT: 1
Time: 512517200000, TX_OUT: 0
Time: 513517200000, TX_OUT: 0
Time: 514517200000, TX_OUT: 0
Time: 515517200000, TX_OUT: 1
Time: 516517200000, TX_OUT: 0
Time: 517517200000, TX_OUT: 1
Time: 518517200000, TX_OUT: 0
Data sent: 11111111000010001011110100111011
Time: 520517200000, TX_OUT: 1
Time: 521517200000, TX_OUT: 1
Time: 522517200000, TX_OUT: 1
Time: 523517200000, TX_OUT: 1
Time: 524517200000, TX_OUT: 1
Time: 525517200000, TX_OUT: 1
Time: 526517200000, TX_OUT: 1
Time: 527517200000, TX_OUT: 1
Time: 528517200000, TX_OUT: 0
Time: 529517200000, TX_OUT: 0
Time: 530517200000, TX_OUT: 0
Time: 531517200000, TX_OUT: 0
Time: 532517200000, TX_OUT: 1
Time: 533517200000, TX_OUT: 0
Time: 534517200000, TX_OUT: 0
Time: 535517200000, TX_OUT: 0
Time: 536517200000, TX_OUT: 1
Time: 537517200000, TX_OUT: 0
Time: 538517200000, TX_OUT: 1
Time: 539517200000, TX_OUT: 1
Time: 540517200000, TX_OUT: 1
Time: 541517200000, TX_OUT: 1
Time: 542517200000, TX_OUT: 0
Time: 543517200000, TX_OUT: 1
Time: 544517200000, TX_OUT: 0
Time: 545517200000, TX_OUT: 0
Time: 546517200000, TX_OUT: 1
Time: 547517200000, TX_OUT: 1
Time: 548517200000, TX_OUT: 1
Time: 549517200000, TX_OUT: 0
Time: 550517200000, TX_OUT: 1
Time: 551517200000, TX_OUT: 1
Data sent: 11111111000110101011110000101001
Time: 553517200000, TX_OUT: 1
Time: 554517200000, TX_OUT: 1
Time: 555517200000, TX_OUT: 1
Time: 556517200000, TX_OUT: 1
Time: 557517200000, TX_OUT: 1
Time: 558517200000, TX_OUT: 1
Time: 559517200000, TX_OUT: 1
Time: 560517200000, TX_OUT: 1
Time: 561517200000, TX_OUT: 0
Time: 562517200000, TX_OUT: 0
Time: 563517200000, TX_OUT: 0
Time: 564517200000, TX_OUT: 1
Time: 565517200000, TX_OUT: 1
