Data sent: 1000000100100011010001010110011110001001101010111100110100001111
Time: 1008900000, TX_OUT: 1
Time: 2008900000, TX_OUT: 0
Time: 3008900000, TX_OUT: 0
Time: 4008900000, TX_OUT: 0
Time: 5008900000, TX_OUT: 0
Time: 6008900000, TX_OUT: 0
Time: 7008900000, TX_OUT: 0
Time: 8008900000, TX_OUT: 1
Time: 9008900000, TX_OUT: 0
Time: 10008900000, TX_OUT: 0
Time: 11008900000, TX_OUT: 1
Time: 12008900000, TX_OUT: 0
Time: 13008900000, TX_OUT: 0
Time: 14008900000, TX_OUT: 0
Time: 15008900000, TX_OUT: 1
Time: 16008900000, TX_OUT: 1
Time: 17008900000, TX_OUT: 0
Time: 18008900000, TX_OUT: 1
Time: 19008900000, TX_OUT: 0
Time: 20008900000, TX_OUT: 0
Time: 21008900000, TX_OUT: 0
Time: 22008900000, TX_OUT: 1
Time: 23008900000, TX_OUT: 0
Time: 24008900000, TX_OUT: 1
Time: 25008900000, TX_OUT: 0
Time: 26008900000, TX_OUT: 1
Time: 27008900000, TX_OUT: 1
Time: 28008900000, TX_OUT: 0
Time: 29008900000, TX_OUT: 0
Time: 30008900000, TX_OUT: 1
Time: 31008900000, TX_OUT: 1
Time: 32008900000, TX_OUT: 1
Time: 33008900000, TX_OUT: 1
Time: 34008900000, TX_OUT: 0
Time: 35008900000, TX_OUT: 0
Time: 36008900000, TX_OUT: 0
Time: 37008900000, TX_OUT: 1
Time: 38008900000, TX_OUT: 0
Time: 39008900000, TX_OUT: 0
Time: 40008900000, TX_OUT: 1
Time: 41008900000, TX_OUT: 1
Time: 42008900000, TX_OUT: 0
Time: 43008900000, TX_OUT: 1
Time: 44008900000, TX_OUT: 0
Time: 45008900000, TX_OUT: 1
Time: 46008900000, TX_OUT: 0
Time: 47008900000, TX_OUT: 1
Time: 48008900000, TX_OUT: 1
Time: 49008900000, TX_OUT: 1
Time: 50008900000, TX_OUT: 1
Time: 51008900000, TX_OUT: 0
Time: 52008900000, TX_OUT: 0
Time: 53008900000, TX_OUT: 1
Time: 54008900000, TX_OUT: 1
Time: 55008900000, TX_OUT: 0
Time: 56008900000, TX_OUT: 1
Time: 57008900000, TX_OUT: 0
Time: 58008900000, TX_OUT: 0
Time: 59008900000, TX_OUT: 0
Time: 60008900000, TX_OUT: 0
Time: 61008900000, TX_OUT: 1
Time: 62008900000, TX_OUT: 1
Time: 63008900000, TX_OUT: 1
Time: 64008900000, TX_OUT: 1
Data sent: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Time: 210810500000, TX_OUT: x
Time: 211810500000, TX_OUT: x
Time: 212810500000, TX_OUT: x
Time: 213810500000, TX_OUT: x
Time: 214810500000, TX_OUT: x
Time: 215810500000, TX_OUT: x
Time: 216810500000, TX_OUT: x
Time: 217810500000, TX_OUT: x
Time: 218810500000, TX_OUT: x
Time: 219810500000, TX_OUT: x
Time: 220810500000, TX_OUT: x
Time: 221810500000, TX_OUT: x
Time: 222810500000, TX_OUT: x
Time: 223810500000, TX_OUT: x
Time: 224810500000, TX_OUT: x
Time: 225810500000, TX_OUT: x
Time: 226810500000, TX_OUT: x
Time: 227810500000, TX_OUT: x
Time: 228810500000, TX_OUT: x
Time: 229810500000, TX_OUT: x
Time: 230810500000, TX_OUT: x
Time: 231810500000, TX_OUT: x
Time: 232810500000, TX_OUT: x
Time: 233810500000, TX_OUT: x
Time: 234810500000, TX_OUT: x
Time: 235810500000, TX_OUT: x
Time: 236810500000, TX_OUT: x
Time: 237810500000, TX_OUT: x
Time: 238810500000, TX_OUT: x
Time: 239810500000, TX_OUT: x
Time: 240810500000, TX_OUT: x
Time: 241810500000, TX_OUT: x
Time: 242810500000, TX_OUT: x
Time: 243810500000, TX_OUT: x
Time: 244810500000, TX_OUT: x
Time: 245810500000, TX_OUT: x
Time: 246810500000, TX_OUT: x
Time: 247810500000, TX_OUT: x
Time: 248810500000, TX_OUT: x
Time: 249810500000, TX_OUT: x
Time: 250810500000, TX_OUT: x
Time: 251810500000, TX_OUT: x
Time: 252810500000, TX_OUT: x
Time: 253810500000, TX_OUT: x
Time: 254810500000, TX_OUT: x
Time: 255810500000, TX_OUT: x
Time: 256810500000, TX_OUT: x
Time: 257810500000, TX_OUT: x
Time: 258810500000, TX_OUT: x
Time: 259810500000, TX_OUT: x
Time: 260810500000, TX_OUT: x
Time: 261810500000, TX_OUT: x
Time: 262810500000, TX_OUT: x
Time: 263810500000, TX_OUT: x
Time: 264810500000, TX_OUT: x
Time: 265810500000, TX_OUT: x
Time: 266810500000, TX_OUT: x
Time: 267810500000, TX_OUT: x
Time: 268810500000, TX_OUT: x
Time: 269810500000, TX_OUT: x
